location,year_month,public,total,total_sex_male,total_sex_female,total_age_0_19,total_age_20_39,total_age_40_59,total_age_60_max,total_sex_male_age_0_19,total_sex_male_age_20_39,total_sex_male_age_40_59,total_sex_male_age_60_max,total_sex_female_age_0_19,total_sex_female_age_20_39,total_sex_female_age_40_59,total_sex_female_age_60_max
Australia_New South Wales,Jan 2019,Y,75,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Feb 2019,Y,72,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Mar 2019,Y,91,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Apr 2019,Y,56,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,May 2019,Y,67,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Jun 2019,Y,67,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Jul 2019,Y,74,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Aug 2019,Y,77,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Sep 2019,Y,85,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Oct 2019,Y,91,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Nov 2019,Y,92,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Dec 2019,Y,95,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Jan 2020,Y,81,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Feb 2020,Y,63,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Mar 2020,Y,87,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Apr 2020,Y,58,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,May 2020,Y,66,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Jun 2020,Y,69,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Jul 2020,Y,86,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Aug 2020,Y,86,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Sep 2020,Y,76,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Oct 2020,Y,62,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Nov 2020,Y,77,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Dec 2020,Y,88,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Jan 2021,Y,107,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Feb 2021,Y,54,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Mar 2021,Y,78,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Apr 2021,Y,67,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,May 2021,Y,78,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Jun 2021,Y,60,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_Queensland,Jan 2016,N,63,46,17,6,26,19,12,.b,17,.b,.b,.b,9,.b,.b
Australia_Queensland,Feb 2016,N,66,58,8,.b,22,26,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Mar 2016,N,61,45,16,.b,24,19,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Apr 2016,N,46,34,12,.b,16,20,.b,.b,.b,14,.b,.b,.b,6,.b
Australia_Queensland,May 2016,N,41,26,15,.b,13,.b,12,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Jun 2016,N,55,45,10,.b,27,21,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Jul 2016,N,53,39,14,.b,21,17,.b,.b,13,.b,.b,.b,8,.b,.b
Australia_Queensland,Aug 2016,N,60,46,14,.b,29,22,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Sep 2016,N,49,35,14,.b,19,17,.b,.b,.b,.b,.b,.b,.b,.b,.b
